,Storage Discharge Energy to Grid (MWh),Storage RegUp (MWh),Storage RegDn (MWh),Storage Spin (MWh),LOSS (%),group,Day
336,8.622716,14.985015,26.150251,4.173672,0.044161197,1,9/10/2019
337,8.029927,24.540983,27.839857,0.0,0.050127428,1,9/11/2019
338,11.740972,38.636566,29.729994,0.0,0.050243985,1,9/12/2019
339,8.611028,29.923368,22.197432,0.7739684,0.069307916,1,9/13/2019
340,9.747884,18.830412,21.54167,0.0,0.05170689,1,9/14/2019
341,10.646642,2.792815,8.723432,0.0,0.060409945,1,9/15/2019
342,11.856206,32.033844,16.014723,0.0,0.06953009,1,9/16/2019
343,9.806081,10.511504,9.637433,0.0,0.058972348,1,9/17/2019
344,3.4087265,19.851744,48.291393,0.0,0.059867226,1,9/18/2019
345,7.8158154,18.523863,17.063276,0.0,0.04597496,1,9/19/2019
346,5.5688367,32.018402,42.326305,0.7296111,0.045840163,1,9/2/2019
347,11.245839,0.0,76.29683,0.0,0.07556182,1,9/20/2019
348,12.191045,98.10861,246.51392,2.426953,0.017930778,1,9/21/2019
349,14.532903,10.936309,14.417279,0.0,0.06348603,1,9/22/2019
350,6.774632,24.445158,36.274914,0.0,0.08205892,1,9/23/2019
351,0.0,20.501402,22.075392,0.0,0.09725389,1,9/24/2019
352,2.7037246,23.03369,27.11769,0.52302235,0.09273595,1,9/25/2019
353,1.8713118,44.574615,45.812695,3.4000213,0.1057893,1,9/26/2019
354,0.0,21.275938,25.431532,4.574612,0.09750017,1,9/27/2019
355,6.6867414,0.30947763,5.7236457,0.0,0.06478381,1,9/28/2019
356,2.600972,37.74893,65.17235,0.0,0.10769293,1,9/29/2019
357,7.597264,12.316253,13.139813,2.362332,0.05006752,1,9/3/2019
358,9.550496,27.99063,46.468243,0.0,0.059587784,1,9/30/2019
359,27.177387,0.0,10.742536,0.023098648,0.033023268,1,9/4/2019
360,9.346807,14.869353,19.833998,3.5367553,0.044184648,1,9/5/2019
361,13.902898,51.6243,30.436262,0.0,0.06966676,1,9/6/2019
362,7.173344,16.523222,15.859845,0.0,0.060216207,1,9/7/2019
363,11.324803,0.0,8.599683,3.9391448,0.08832617,1,9/8/2019
364,11.174596,37.909454,24.113234,0.0,0.04557819,1,9/9/2019
365,13.563603,42.980133,40.443615,0.0,0.060234897,2,1/1/2019
366,7.6366315,43.117767,41.841198,5.9264646,0.08610451,2,1/10/2019
367,14.694631,18.185179,17.69969,0.0,0.059661224,2,1/11/2019
368,5.389836,0.0,0.0,0.0,0.06892267,2,1/12/2019
369,14.418859,31.802397,32.80055,0.44897145,0.06729944,2,1/13/2019
370,20.341389,76.44223,85.24028,0.0,0.10069988,2,1/14/2019
371,7.244145,77.10089,89.62053,24.350948,0.0605064,2,1/15/2019
372,7.689137,0.0,3.1948674,4.344891,0.073903166,2,1/16/2019
373,0.0,0.0,0.0,0.0,0.099184245,2,1/17/2019
374,0.0,22.705137,50.76634,4.1360593,0.08062847,2,1/18/2019
375,9.949056,0.0,12.217938,16.147,0.0716788,2,1/19/2019
376,11.287969,36.372528,38.231365,0.0,0.07307186,2,1/2/2019
